,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Program Coordinator for Youth and Community Programs,Boston,Dec 16,https://boston.craigslist.org/gbs/npo/d/boston-program-coordinator-for-youth/7248306314.html,"
compensation: $45,000-50,000

employment type: full-time

non-profit organization

telecommuting ok

","

QR Code Link to This Post


GrubStreet is the leading literary arts center in the country. We are a hardworking and creative bunch, and pride ourselves on a warm and supportive work environment. GrubStreet is seeking a Program Coordinator to join our team and help us run our Youth and Community program in advance of our transition to our new space in Boston’s Seaport neighborhood. This position will begin March 1, 2021.

The Program Coordinator will work closely with the Youth & Community Programs Manager and the Director of Community and Youth Programs to ensure smooth communications with a diverse pool of students and instructors, seamless enrollment processes for our classes, and will help maintain the high quality of our programming by administering and monitoring our class evaluation systems. 

The ideal Program Coordinator will not only be passionate about writing and reading, but wholeheartedly committed to advancing equity and building safe creative spaces. They will be amazingly organized and have superb written communication skills, sharp attention to detail, flexible solutions to clunky problems, and a commitment to learning and using applications and technologies like Airtable, Zoom, and our website database. 

Finally, the Program Coordinator should feel comfortable bringing their distinct personality to work with them.  We work hard but we also encourage boldness, fun, and not taking ourselves too seriously. We hope the Program Coordinator is excited about joining the larger community of Grub writers in Boston.

We encourage BIPOC (Black, Indigenous and people of color), LGBTQIA+, people with disabilities, and other communities historically underrepresented in arts administration spaces to apply. GrubStreet strives to dismantle every system, process, or structure that would discourage any person from working with us. We actively seek diversity, equity, and inclusivity because we know that all people are vital and that their stories are our stories. 

Position Summary
Reporting to the Manager of Community and Youth Programs, the Programs Coordinator will help manage, evaluate, and develop GrubStreet’s Young Adult (YAWP) and Write Down the Street (WDtS) programs. Key areas of responsibility include:

Program Administration and Communication
•	Prioritizes commitment to access and equity across all programs for all classes and events.
o	Committed to continuing education on DEI (Diversity, Equity, & Inclusion) issues
o	Maintains and refines processes to collect, track, and document demographic data toward improving DEI across YAWP and WDtS programs
o	Develops and practices ways to model and support interns and other team members to handle DEI issues when and if they arise. 
o	Committed to centering marginalized communities and making sure they have equitable access to resources in the arts, especially at GrubStreet.
•	Assists in managing operations of Teen Summer Fellowship which includes:
o	Coordinating and providing support for instructors.
o	Administering application process
o	Coordinating fellowship-related events, including the Muse & the Marketplace conference attendance. 
o	Overseeing production of annual anthology.
•	Scheduling and Operations
o	Manages free lunch and transportation programs for teens (once back in-person)
o	Distributes and logs all student surveys and attendance
o	Supports Youth & Community Programs Manager in scheduling, planning, and implementing events with neighborhood, community, and school partners
o	Manages inventory for program supplies. Supports partner sits and instructors to make sure they have the supplies they need for GrubStreet classes and events.
•	Programming support
o	Collaborates with Youth & Community Programs Manager and rest of programs team to create annual class schedule.
o	Manages class schedule updates and changes
o	Assists in running YAWP Saturday Sessions (once a month during the school year) and any other additional YAWP programming during the school year.
o	Problem-solves issues while Director and/or Manager are not available
•	Engagement
o	Maintains YAWP and Write Down the Street web pages on the GrubStreet website
o	Works with marketing to draft content and copy for flyers, ads, and other collateral material.
o	Drafts bimonthly (and weekly) communication to teens and parents, and acts as the point person for all questions related to teen programming. This includes the YAWP and WDtS newsletters.
o	As needed, plans and runs events.

Qualifications:
•	Demonstrates GrubStreet’s commitment to anti-racism and equity
•	Extremely detail-oriented, with very strong organizational skills
•	Solid interpersonal and communication skills – both oral and written; comfort calling and/or emailing parents and students
•	Skilled in Microsoft Office (Word and Excel)
•	Comfort with learning and using software applications like Airtable
•	Willingness to learn and work well within a team environment

About the Organization 
We believe that narrative transforms lives, builds bridges, and produces empathy. By rigorously developing voices of every type and talent, and by removing barriers to entry, GrubStreet fosters the creation of meaningful stories and ensures that excellent writing remains vital and relevant. 

GrubStreet, the largest creative writing center in the U.S., annually engages over 8,000 students – both teens and adults – in programs that range from two-hour workshops to year-long graduate-level seminars. 

Our teachers are working artists who bring the highest quality instruction and mentorship to storytellers. We also host a major writing conference each year and public storytelling events. The education and networks we facilitate foster a richer local writing scene, with a strong focus on increasing opportunities for writers of color, low-income writers, and teen writers. 

Our programs eliminate common barriers to participation in the arts and lifelong learning, and build community among participants. We continue to increase scholarships and provide free writing programs (including bilingual classes) for adults and teens in low-income communities across Boston. 

Our programs and offices are currently operating remotely in response to the Covid-19 pandemic. Once we are operating in person again, we will need the person in this role to be local to Boston.

Position Details
GrubStreet is an equal opportunity employer. We provide a competitive salary and benefits package and a dynamic, collaborative work environment. The salary range for this position is $45,000-50,000, commensurate with experience.

CONTACT INFORMATION

Please email your resume AND cover letter to jobs @ grubstreet.org and please put “Program Coordinator” in the subject line. Applications will be accepted and reviewed on a rolling basis. No phone calls, please. We will begin interviewing candidates on Tuesday, January 19th, but will review applications on a rolling basis until the position is filled. We strongly encourage applicants to apply as soon as possible.

Position Status: Full time, exempt
Position Level: Entry-level
Position Reports to: Youth & Community Programs Manager
Location: Boston
"
2,Live In Adult Companion/PCA/Shared Living Provider,Lexington,Dec 16,https://boston.craigslist.org/bmw/npo/d/waverley-live-in-adult-companion-pca/7248078728.html,"
compensation: Compensation according to qualifications.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Unique live in position for active, organized, emotionally mature, honest and insightful female to live with a 47 year old woman with Down Syndrome who works, lives in her own apartment, has a life of her own. This is not a cookie cutter PCA (Personal Care Assistant) or room mate job but somewhere in between. It will challenge your creativity - and open endless possibilities for fun and adventure. It is, however, a job that needs focus and attention. You provide support as appropriate, particularly with scheduling, gluten and lactose free diet and cooking, transportation, attending medical appointments. She wants an exercise buddy, a companion, someone to ""do things"" with, whether watching TV, cooking together, taking a walk, a helper. She doesn't want another mother. You will maintain a healthy, happy environment, be a good role model. Is this you?
Do you have the ability to work together as appropriate, treading the fine line between emotional, physical and caring support while recognizing that a 47 year old woman has a right to make her own choices? We want you both to be happy.
Her program (and your salary) is funded by Department of Developmental Services (DDS) to enable/promote independent living.
Compensation includes free rent in a 2 bedroom, 2 bath apartment with washer and dryer. Utility and food costs are shared. You will work with a support team involving DDS, parents, a private support broker, and financial management. Clear communication with client and team members is critical.
You must have safe car, clean driving record, pass background check, non-smoker, resume and references. Please contact us for further, ample information and any questions you may have. Covid 19 observance a must.    "
3,Private Care Manager,Waltham,Dec 16,https://boston.craigslist.org/gbs/npo/d/waltham-private-care-manager/7247986359.html,"
compensation: DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell's Private Care Management Program is an innovative fee-based care management program that provides comprehensive support to elders, disabled adults and their families at an affordable rate. Join our growing team and be part of this important effort to help families navigate the challenges of health care and maintain a high quality of life despite challenges.
POSITION DESCRIPTION
Springwell's Private Care Management Program is an innovative fee-based care management program that aims to expand our mission and our reach.  The Private Care Manager (PCM) is a seasoned professional (Social Worker, Allied Health or other Human Services Professional) who will work to help find practical solutions to the challenges of aging, disability and caregiving by developing a comprehensive care plan that addresses the client's goals and preferences. The ideal candidate will have experience in home-and-community-based care and a good working knowledge of the health care and elder services landscape. The Springwell PCM will work as a member of our team to expand access to care management to those populations who may not qualify for subsidized service or have the means to pay privately at current market rates.
The Springwell PCM will conduct an assessment, identify resources and develop a care plan that meets the needs, goals and preferences of the client - and secure and coordinate the delivery of services upon request. Requests for assistance from the PCM are varied in depth and scope and require creativity, flexibility and problem solving skills. Additional responsibilities include provision of short-term Options Counseling delivered at no cost to callers to our Information and Consultation Department. As this is a private pay program, PCM tasks and travel are billable at an hourly rate. The PCM is responsible for tracking and documenting time spent with their clients, as well as other documentation and billing requirements.
QUALIFICATIONS  
Bachelor's degree required, Master's Degree preferred in a Social Work, Allied Health or a Human Services-related field.   
Minimum of 2 years' experience working with seniors and their families/caregivers.
Knowledge of community resources, entitlements and private insurance systems 
Possess excellent customer service skills and the ability to work independently
A reliable car, current driver's license and safe driving record required.
BENEFITS
 3 weeks of vacation in first year
 Birthday off
 11 paid holidays
 2 paid floating holidays
 15 paid sick days per year (You can accumulate up to 450 hours)
 Health & dental insurance with employer contribution
 Life and long-term disability insurance at no cost to employee
 Flexible Spending Plan
 Employee Assistance Plan
 401K Retirement Savings Plan w/ employer contribution
 Mileage reimbursement
 4-day work week option for many positions
 Employee referral bonuses
 Free parking
 Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Private care manager, private care management, care manager, care management, case manager, case management, allied health, social worker, elders, elder care, elder services, geriatric, older adult, disability, human services
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1614385-143011 "
4,Nurse Manager,Waltham,Dec 16,https://boston.craigslist.org/gbs/npo/d/waltham-nurse-manager/7247983022.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


This is an exciting opportunity for a dynamic professional who wants to make a difference in the lives of the diverse community and elder population and believes in providing that care with compassion and respect to all we serve. 
POSITION DESCRIPTION
Springwell is seeking a Nurse Manager to oversee our Community Transitions Department. The position has a variety of responsibilities that will include:
Supervision of nurses and case managers who conduct assessments of individuals at nursing facilities and assist with long term care placement or returning to the community.
Ensuring compliance with program regulations and guidelines.
Evaluate program strengths and identify areas for improvement.
Involvement in multidisciplinary meetings within and outside of Springwell to provide clinical input from a nursing perspective.
Outreach to community partners to provide education on the role of Springwell staff in discharge planning and to strengthen community relationships.
Staff training on program regulations and requirements.
Hands on tasks such as running and reviewing reports, and conducting record reviews to work towards continuous quality improvement.
QUALIFICATIONS
Our ideal candidate will have strong critical thinking, organization, problem solving and team building skills. They will be flexible, able to switch priorities quickly and believe in the importance of a multidisciplinary approach to consumer services. They will make evidence based decisions consistent with sound judgment and experience which will facilitate program growth and development.
Master's or Bachelor's degree in Nursing and three years' experience in Human Services in a direct relationship with individuals served required.
Valid Massachusetts RN license required.
Three years of full time equivalent experience as a Registered Nurse in a community setting required.
One years of supervisory, administrative or managerial experience preferred.
Familiarity with community services for elders and the Massachusetts aging network preferred.
Demonstrated leadership ability and the ability to work independently as well as part of a team.
Excellent verbal, written and computer skills.
A reliable car, current driver's license and safe driving record required.
BENEFITS
Monday through Friday work schedule/No Weekends or Holidays
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1614350-143011 "
5,Case Manager,Waltham,Dec 16,https://boston.craigslist.org/gbs/npo/d/waltham-case-manager/7247979602.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking dedicated and compassionate Case Managers to join our Case Management and Housing Departments.
A Case Manager conducts comprehensive in-home assessments with elders, helps determine needs and eligibility for government subsidized services, creates care plans and coordinates services. Duties include data entry into computer database, communication and consultation with family members, other Springwell staff and community professionals. 
No weekends, evenings, nights or holidays.
QUALIFICATIONS
Bachelor's Degree required.
Previous experience in human services field preferred.
Working with computers, entering data and running reports.
A reliable car, current driver's license and safe driving record required.
Russian or Armenian speaking preferred but not required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Flexible Work Options available after 6 months; alternate start time between 8:00 and 9:30 a.m., 4 day work week, 4.5 day work week, telecommuting work option, remote work option
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities.
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Telecommuting, Remote, Telecommuter, Telecommute, Council on Aging, Program Coordinator, Case Worker
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1614344-143011 "
6,AmeriCorps Energy Efficiency Coordinator for the Environment,"Lewiston, Maine",Dec 15,https://boston.craigslist.org/gbs/npo/d/lewiston-americorps-energy-efficiency/7247571918.html,"
compensation: Living stipend of $14,279 for one year of service

employment type: full-time

non-profit organization

telecommuting ok

","

QR Code Link to This Post


Experience Maine’s natural beauty and exciting outdoor opportunities while making a difference for local communities and the environment! Maine Campus Compact (MCC) is a statewide coalition of colleges and universities whose purpose is to further the public purposes and civic mission of higher education. Through MCC’s Maine Energy AmeriCorps Program (MEAP), formerly the Maine Partnership for Environmental Stewardship Program, 6 Full Time AmeriCorps Members  will develop and implement energy efficiency action plans with clear outcomes and will lead MEAP program events and volunteer recruitment efforts in campuses and communities throughout the state.

MEAP will build partnerships between community organizations and college campuses throughout Maine to effect behavioral and technical change leading to energy efficiency, particularly for economically disadvantaged Mainers. Through campus/community partnerships focused on reducing energy and light weatherization services, MPES AmeriCorps Members will increase energy efficiency and cost savings for economically disadvantaged populations, community organizations and non-profit higher educational institutions. 

Please note that due to COVID-19 some of our activities have been modified due to social distancing guidelines. Our 2020-2021 team will spend much of their initial focus on our Conserve Maine Energy (CME) Public Awareness Campaign to raise awareness about lowering energy use and energy costs for low-income Mainers and some direct service activities can include (for the time being) COVID-related support in the host site community. 

Required qualifications:  
Maine Campus Compact AmeriCorps Energy Efficiency Coordinator 
•Applicants must be at least 17 and a US citizen 
• Bachelor’s degree preferred  
• Excellent oral and written communication skills 
• Well-developed organizational abilities 
• Strong team member and leaderships skills 
• Knowledge/experience with community engagement, partnership building, and volunteer recruitment 
• Motivated, independent worker 
• Valid driver’s license and car  

Preferred qualifications:
• Prior work with community partners and/or college students 
• Experience in environmental stewardship or energy efficiency initiatives 
• Strong interpersonal skills and comfortable speaking in public  
• Volunteer management and event planning experience 
• Event planning experience  

Benefits and Terms (for one year of service)

Service Term: 1,700 hours
Education Award: $6,345
Living Allowance: $14,279

Other benefits include: Health care coverage, childcare assistance for qualifying members, student loan forbearance (if eligible) and professional development including skill development and Green Jobs trainings,  personalized career counseling and support in developing a personal career action plan, and an enhanced green/environmental professional network.

The official start date for this position will be December 14, 2020 or January 12, 2021 start dates.  

To Apply: Please submit a resume and cover letter
*All selected candidates must complete a federal and state background check.
*All qualified applicants will receive consideration for service without regard to race, color, religion, sex, national origin, sexual orientation, age, disability, protected veteran status, or any other characteristic protected by law.
*AmeriCorps is an independent federal agency whose mission is to improve lives, strengthen communities, and foster civic engagement through service and volunteering    "
7,Nurse II (Andrew House Stoughton),Stoughton,Dec 15,https://boston.craigslist.org/sob/npo/d/stoughton-nurse-ii-andrew-house/7247529819.html,"
compensation: RN $31.00/hr  LPN $25/hr

employment type: part-time

non-profit organization

","

QR Code Link to This Post




Recognized by the Boston Globe as one of the Top Places To Work, Bay Cove Human Services is a private, not-for-profit corporation that provides a wide variety of services to individuals and their families who face the life-long challenges of developmental disabilities, aging, mental illness and drug and alcohol addiction. We have a wide variety of programs available to our clients including residential services, employment support, and day habilitation programs. Bay Cove's 2,000 highly trained employees serve more than 20,000 individuals and their families each year at more than 160 different program sites throughout Greater Boston and southeastern Massachusetts. 


To find out more about Bay Cove and gain access to all of our current openings, click the banner above. 


Nurse II




Requisition #9989
Nurse II (Andrew House Stoughton, Stoughton)
Schedule: 3p-11p (Thurs-Sun)
Salary: RN: $31/hr LPN: $25/hr




Responsibilities:

Bay Cove Human Services, Inc.a leading Massachusetts human services organization, seeks a Nurse II to join us in our mission to provide high-quality services to adults who face the life-long challenges of mental illness, aging and drug and alcohol dependency.The Nurse II will be responsible for the care of patients in the unit and asses changes in patient conditions.The detoxification center is an acute treatment facility which provides medically monitored services to men and women who need short-term detoxification from alcohol, heroin and other opiates.We are looking for someone who strives to:
 
Challenge thinking.Be different.Lead change.Bay Cove is looking for people who are inspired and inspiring.You will:
 
Medicate PRN, according to standing orders.Telephone and initial screen of all patients for admission, obtaining an as medically accurate history as possible.Keep accurate nursing notes describing patients' physical conditions and activities.Record all medications.Narcotic count at beginning and end of shift.Thoroughly and accurately report patients' status for the oncoming shift.Report unusual events to Director of Nurses, Director or Assistant Director.Observe for signs and symptoms of medication toxicity/psychiatric in the dually diagnosed.Conduct condition checks every hour and more frequently as required in the disorganized and suicidal client.Participate in ongoing discharge planning with counseling staff and administrators.

Qualifications:

What you will need to bring:
 
Licensure- Massachusetts registration or license in nursing.Experience – Experience involving acute admissions on either a medical, surgical or emergency service preferred.Prior substance abuse experience preferred.Will train New Grads.Keywords: Nurse, Nursing, Healthcare, Human Services, Substance Abuse, Detox, ATS, Clinical, Medical, Nonprofit, Human Services, Recovery
Driving License Required? Yes



Benefits:

Excellent benefits package including health and dental insurance, 403(b) retirement plan, tuition reimbursement/remission, paid vacation & holidays, sick time pay, and employee referral bonuses.



TO APPLY:

Apply online by going to https://www.baycove/org/apply/index.cfm?pid=9989.


Bay Cove Human Services, 66 Canal Street, Boston, MA 02114 


Bay Cove is an Equal Opportunity/Affirmative Action Employer
"
8,"Part-Time Dining Site Manager, $15.50/hour (6 hrs/wk & 25 hrs/wk avail",Waltham,Dec 15,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-manager/7247448985.html,"
compensation: $15.50 Hourly

employment type: part-time

non-profit organization

","

QR Code Link to This Post


A rewarding Part-Time Dining Site Manager position is available in Springwell's Senior Community Dining Site Program in Watertown!
Available Positions:
Watertown: This position offers $15.50/hour for a 25-hour work week. Monday-Friday from 8:30 AM to 1:30 PM.
QUALIFICATIONS
Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.
 
We look forward to hearing from you soon!
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1609180-143011 "
9,Part-Time Floating Nutrition Assistant,Waltham,Dec 15,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7247447795.html,"
compensation: $15.00/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $15.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1609177-143011 "
10,"Part-Time Dining Site Assistant, $15/hour",Waltham,Dec 15,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-assistant/7247446761.html,"
compensation: $15.00 Hourly

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Community Nutrition Program seeks a Part-Time Dining Site Assistant in Needham. This position offers $15.00/hour for a 15-hour work week: Monday-Friday from 10:30 AM- 1:30 PM. Benefits include paid holidays, sick, and vacation time.
 
QUALIFICATIONS
Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.
 
We look forward to hearing from you soon!
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1609171-143011 "
